,name,address,sido,gu
0,흥덕지구점,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호",경기도,용인시
1,휘닉스점,강원도 평창군 봉평면 무이리 694-14번지 1층,강원도,평창군
2,후곡점,경기도 고양시 일산서구  일산로 576,경기도,고양시
3,효자중화산1호점,전라북도 전주시완산구  안행로 154,전라북도,전주시완산구
4,회덕점,경기도 광주시  이배재로 108,경기도,광주시
5,황상인의점,경상북도 구미시  여현로 80,경상북도,구미시
6,화천점,강원도 화천군 화천읍 중앙로 37번지,강원도,화천군
7,화양점,"서울특별시 광진구   능동로19길 53, 1층",서울특별시,광진구
8,화성반월점,"경기도 화성시  효행로1265번길 17, 101호",경기도,화성시
9,화성마도점,경기도 화성시 마도면 두곡서길 35 1층,경기도,화성시
10,화성남양점,경기도 화성시 남양동 남양도시개발구역 2-1블럭 화성남양상가 103,경기도,화성시
11,화서1동점,경기도 수원시 팔달구 화서동 219-1번지 101호,경기도,수원시
12,화북삼양점,제주도 제주시  진동로1길 13,제주도,제주시
13,화곡본동점,서울특별시 강서구 화곡본동 29-27번지,서울특별시,강서구
14,화곡4동점,서울특별시 강서구 화곡4동 827-8번지,서울특별시,강서구
15,홍천점,강원도 홍천군 홍천읍 연봉리 502-5번지,강원도,홍천군
16,홍제2호점,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호",서울특별시,서대문구
17,홍제1호점,서울특별시 서대문구 홍제동 155-6번지,서울특별시,서대문구
18,홍은2동점,"서울특별시 서대문구  백련사길 6, 1층",서울특별시,서대문구
19,홍성읍점,충청남도 홍성군 홍성읍 문화로 33번길 10,충청남도,홍성군
20,홍농읍점,"전라남도 영광군 홍농읍 상하길 33, 102호",전라남도,영광군
21,호평점,경기도 남양주시 호평동 615-6,경기도,남양주시
22,호원1호점,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)",경기도,의정부시
23,호수동점,"경기도 안산시 단원구  광덕2로 194-8,108호",경기도,안산시
24,호매실점,"경기도 수원시 권선구  서수원로523번길 30-35, 101호",경기도,수원시
25,현풍점,대구광역시 달성군 현풍면 현풍중앙로14길 85,대구광역시,달성군
26,향남지구점,경기도 화성시 향납읍 행정서로3길 4-16,경기도,화성시
27,향남2지구점,경기도 화성시 향남읍 상신하길로298번길 7-27(1층 111호),경기도,화성시
28,행신2호점,"경기도 고양시 덕양구  중앙로 478, 109호",경기도,고양시
29,행당점,서울특별시 성동구  행당로 79,서울특별시,성동구
30,해운대중동점,"부산광역시 해운대구  달맞이길65번길 15, 103호",부산광역시,해운대구
31,해운대좌4동점,부산광역시 해운대구 좌4동 1413번지 삼상@ 분산상가 103호,부산광역시,해운대구
32,해남점,전라남도 해남군 해남읍 중앙2로 33,전라남도,해남군
33,함열점,전라북도 익산시 함열읍 함열1길 28,전라북도,익산시
34,함안칠원점,경상남도 함안군 칠원읍 구성길 43,경상남도,함안군
35,함안가야점,경상남도 함안군 가야읍 가야로 135,경상남도,함안군
36,한성대점,서울특별시 성북구  삼선교로2길 3,서울특별시,성북구
37,한남대점,대전광역시 동구  홍도로 54,대전광역시,동구
38,학익점,"인천광역시 미추홀구 소성로 168, 1층",인천광역시,미추홀구
